displayName,address,lng,lat,type
"靈光堂","鑽石山鳳德村鳳銀鳳樓247-251室",114.20054797242202,22.343466418365303,"Food-Co Service Point"
"竹園區神召會榮恩堂","香港馬頭涌譚公道115號運通大廈1樓A室",114.18892313578095,22.323938117300305,"Food-Co Service Point"
"榕光","香港李鄭屋東京街56-58A號B",114.16018612244874,22.337520019722568,"Food-Co Service Point"
"華基堂","香港太子旺角花園街208-214號金發大廈",114.17041874984055,22.32347099608664,"Food-Co Service Point"
"榮美事工","香港土瓜灣旭日街1號瑞英工業大廈8樓A806室",114.191035,22.315493,"Food-Co Service Point"
"循理會忠心堂","1/F,88 -90Fuk Lo Tsun Rd, Kowloon City, Hong Kong",114.18779116883151,22.330337393056887,"Food-Co Service Point"
"聖雅各福群會幼稚園社工服務","香港灣仔石水渠街85號聖雅各福群會多元化社區服務中心",114.1737442,22.2736077,"Food-Co Service Point"
"香港聖公會諸聖座堂","香港旺角白布街11號聖公會諸聖堂",114.1730927,22.317527,"Food-Co Service Point"
"禮賢會樂齡中心","香港沙田德厚街3號",114.19502801755219,22.38772517486297,"Food-Co Service Point"
"davidlam","香港西營盤高街2號西營盤社區綜合大樓6樓",114.19147140839846,22.30476778318338,"Food-Co Service Point"
"社區支援隊香港戒毒會","Hong Kong, Hok Yuen, Ma Tau Wai Rd, 37至39號厚福街11A號紅磡商業中心A座",114.1877325,22.3098098,"Food-Co Service Point"
"香港基督教服務處 匯愛家長資源中心(觀塘) ","九龍灣宏開道8號其士商業中心10樓17-18室",114.21126287628316,22.321340259923915,"Food-Co Service Point"
